id,Y1,Y2
1,0.55170864,-0.11642495
2,-0.23424168,-0.13669232
3,-0.38610938,-0.055953402
4,-0.4086037,0.045324687
5,-0.93086874,-0.023293775
6,0.3513249,0.120262675
7,1.2783374,0.10041219
8,-0.08988458,-0.2078821
9,-0.74868643,-0.07573911
10,-1.1293418,-0.04394178
11,-1.4244606,0.4752884
12,0.22167954,0.025502173
13,-0.81726784,0.23719947
14,-0.27582204,0.08662019
15,-0.13628305,0.17402601
16,1.5496241,-0.014843853
17,0.9740359,-0.1569918
18,1.0301863,0.012183545
19,-0.59244853,-0.14453906
20,-0.84912145,-0.1421473
21,0.931896,-0.27950162
22,0.7437341,-0.1310883
23,-0.8843433,-0.24564995
24,0.7611638,-0.28942993
25,1.4451398,0.089422494
26,0.81923735,2.1991558
27,-0.97386235,0.8294537
28,-0.43900278,0.015309484
29,-3.4815538,2.5333157
30,1.7657934,2.950841
31,2.3432202,1.2197307
32,-1.5879059,0.8823244
33,1.3217934,0.6029262
34,0.89917576,0.7571985
35,-0.2098158,0.65886503
36,0.8803159,0.3168396
37,-0.5563733,0.10550278
38,-0.40131208,-0.02981448
39,-0.40388408,0.076821536
40,1.2615244,-0.18859005
41,-0.76378626,-0.24110352
42,-0.44374478,-0.21441482
43,1.0272804,-0.34328723
44,-0.7298291,-0.20621902
45,-2.9874804,0.33420008
46,0.2208407,0.11590583
47,1.4049013,-0.035716828
48,0.72343624,-0.2350938
49,0.69126743,-0.1613356
50,-0.36339176,-0.25120986
51,0.5572224,-0.32988852
52,-1.4148148,-0.3226631
53,-0.2759962,-0.3741586
54,-1.2740599,-0.06189457
55,0.8691324,-0.37587723
56,0.28176197,-0.43182528
57,-0.24022971,-0.48432723
58,-1.3201398,-0.16974357
59,1.043831,-0.35596192
60,-0.29899237,-0.4704553
61,0.26346895,-0.44015515
62,-0.39773205,-0.5022248
63,-0.8937808,-0.2923868
64,-0.32232267,-0.2677102
65,0.22503482,-0.34438053
66,0.54937863,-0.4348159
67,0.6466218,-0.2581963
68,-0.8006023,-0.21316774
69,0.32911575,-0.32475257
70,-0.06989418,-0.3552826
71,0.20863385,-0.0760312
72,0.76557004,-0.2588231
73,0.00013199562,-0.37150204
74,-0.18963437,-0.014614975
75,-0.6859101,-0.20495869
76,0.5925831,-0.27158448
77,-0.8378836,-0.32395
78,0.42085484,-0.410875
79,0.86271924,-0.38650355
80,0.2866454,-0.28253728
81,0.40322077,-0.4040286
82,0.83942825,-0.25565338
83,0.3321384,-0.23354365
84,-0.49826735,-0.17858474
85,-0.3195548,-0.30230606
86,0.05082921,-0.4326264
87,-0.19037378,-0.4051381
88,0.17547478,-0.45534196
89,0.57241756,-0.4308164
90,0.11020224,-0.43131313
91,0.3212788,-0.39684173
92,0.590111,-0.17681494
93,-0.6831544,-0.34848145
94,-0.8212868,-0.37875003
95,0.18866274,-0.3365388
96,0.5912935,-0.3951605
97,0.875839,-0.18499105
98,0.107554436,-0.3668827
99,0.14690472,-0.25014913
100,-0.30562988,-0.33224437
101,0.22239321,-0.38020453
102,-0.42164338,-0.32620716
103,1.3688294,-0.04505295
104,2.3991046,1.081988
105,-0.17291547,1.3200022
106,0.7352154,0.59845996
107,-0.46626526,0.5975427
108,0.22647378,0.22017221
109,0.3852894,0.0018088062
110,0.15991792,-0.22558975
111,-0.76424694,7.129083e-05
112,0.08713009,-0.16512129
113,-1.2224283,0.35350612
114,-0.46351913,0.100763716
115,-0.55006,0.4475031
116,-0.19534294,-0.008882349
117,-0.72022176,0.12639536
118,0.22335137,-0.15991205
119,0.8605863,-0.047711454
120,-0.30598366,-0.17756867
121,-1.4667137,-0.039448194
122,0.45931625,-0.12542665
123,0.5172093,-0.22390158
124,0.31752667,-0.20388755
125,-0.016605001,0.2767342
126,-0.11670817,0.3330167
127,-3.5291018,2.4907331
128,0.7015347,1.0208608
129,1.6296226,0.61991125
130,1.7533109,0.9430745
131,2.1591423,0.8760179
132,-0.51092744,2.483909
133,1.0562932,1.3725061
134,0.24454707,0.573364
135,-1.2181644,0.9908558
136,-0.8238188,0.27362773
137,-0.064288616,0.008421428
138,0.36948872,-0.07274926
139,-0.0072341547,-0.18711509
140,-0.35385737,-0.20707889
141,-0.19425628,-0.2184726
142,-0.2488298,-0.21807057
143,-1.2615632,0.052574612
144,-0.07408982,-0.17422915
145,0.53102696,-0.29424617
146,-0.23233959,-0.24886836
147,0.020624815,-0.33088472
148,-0.78999174,-0.3533884
149,0.35404107,-0.24789122
150,0.22264096,-0.29062498
151,0.037231915,-0.3016808
152,-0.67655176,-0.28189325
153,0.3697191,-0.42901886
154,1.0913397,-0.15836366
155,0.44442123,-0.38686514
156,-0.31123665,-0.42967027
157,0.20351335,-0.3926368
158,-0.5069082,-0.47036612
159,0.45590216,-0.42206994
160,0.30174783,-0.3775388
161,0.032212354,-0.35430276
162,-0.4451566,-0.33751613
163,-0.5789035,-0.31764948
164,1.1004161,-0.3603167
165,-0.06258588,-0.2340186
166,-0.53798646,-0.4268575
167,-0.6359241,-0.34310067
168,-0.31825566,-0.35238072
169,-0.08428114,-0.36761323
170,-0.4291153,-0.35159102
171,-0.72251165,-0.07831959
172,0.16862403,-0.2836613
173,0.84537137,-0.18759969
174,-0.37346825,-0.28901666
175,-3.0849397,0.5487035
176,0.52445513,0.07293084
177,-0.35176736,-0.24551484
178,0.3901138,-0.16280964
179,1.0254226,-0.22258367
